@relation outtrain-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute Species numeric
@attribute Tmax numeric
@attribute Tmin numeric
@attribute Tavg numeric
@attribute Depart numeric
@attribute DewPoint numeric
@attribute WetBulb numeric
@attribute Heat numeric
@attribute Cool numeric
@attribute Sunrise numeric
@attribute Sunset numeric
@attribute CodeSum numeric
@attribute Depth numeric
@attribute Water1 numeric
@attribute SnowFall numeric
@attribute PrecipTotal numeric
@attribute StnPressure numeric
@attribute SeaLevel numeric
@attribute ResultSpeed numeric
@attribute ResultDir numeric
@attribute AvgSpeed numeric
@attribute spray numeric
@attribute WnvPresent {0,1}

@data
1,88,60,74,10,58,65,0,9,421,1917,30,0,-1,0,0,29.39,30.11,5.8,18,6.5,0,0
2,88,60,74,10,58,65,0,9,421,1917,30,0,-1,0,0,29.39,30.11,5.8,18,6.5,0,0
2,88,60,74,10,58,65,0,9,421,1917,30,0,-1,0,0,29.39,30.11,5.8,18,6.5,0,0
1,88,60,74,10,58,65,0,9,421,1917,30,0,-1,0,0,29.39,30.11,5.8,18,6.5,0,0
2,88,60,74,10,58,65,0,9,421,1917,30,0,-1,0,0,29.39,30.11,5.8,18,6.5,0,0
2,88,65,77,-1,59,66,0,12,-1,-1,30,-1,-1,-1,0,29.44,30.09,5.8,16,7.4,0,0
2,88,65,77,-1,59,66,0,12,-1,-1,30,-1,-1,-1,0,29.44,30.09,5.8,16,7.4,0,0
1,88,65,77,-1,59,66,0,12,-1,-1,30,-1,-1,-1,0,29.44,30.09,5.8,16,7.4,0,0
2,88,65,77,-1,59,66,0,12,-1,-1,30,-1,-1,-1,0,29.44,30.09,5.8,16,7.4,0,0
2,88,65,77,-1,59,66,0,12,-1,-1,30,-1,-1,-1,0,29.44,30.09,5.8,16,7.4,0,0
1,88,65,77,-1,59,66,0,12,-1,-1,30,-1,-1,-1,0,29.44,30.09,5.8,16,7.4,0,0
1,88,65,77,-1,59,66,0,12,-1,-1,30,-1,-1,-1,0,29.44,30.09,5.8,16,7.4,0,0
2,88,65,77,-1,59,66,0,12,-1,-1,30,-1,-1,-1,0,29.44,30.09,5.8,16,7.4,0,0
1,88,65,77,-1,59,66,0,12,-1,-1,30,-1,-1,-1,0,29.44,30.09,5.8,16,7.4,0,0
2,88,65,77,-1,59,66,0,12,-1,-1,30,-1,-1,-1,0,29.44,30.09,5.8,16,7.4,0,0
2,88,65,77,-1,59,66,0,12,-1,-1,30,-1,-1,-1,0,29.44,30.09,5.8,16,7.4,0,0
2,88,65,77,-1,59,66,0,12,-1,-1,30,-1,-1,-1,0,29.44,30.09,5.8,16,7.4,0,0
2,88,65,77,-1,59,66,0,12,-1,-1,30,-1,-1,-1,0,29.44,30.09,5.8,16,7.4,0,0
3,88,65,77,-1,59,66,0,12,-1,-1,30,-1,-1,-1,0,29.44,30.09,5.8,16,7.4,0,0
1,88,65,77,-1,59,66,0,12,-1,-1,30,-1,-1,-1,0,29.44,30.09,5.8,16,7.4,0,0
2,88,65,77,-1,59,66,0,12,-1,-1,30,-1,-1,-1,0,29.44,30.09,5.8,16,7.4,0,0
1,88,60,74,10,58,65,0,9,421,1917,30,0,-1,0,0,29.39,30.11,5.8,18,6.5,0,0
1,88,60,74,10,58,65,0,9,421,1917,30,0,-1,0,0,29.39,30.11,5.8,18,6.5,0,0
2,88,65,77,-1,59,66,0,12,-1,-1,30,-1,-1,-1,0,29.44,30.09,5.8,16,7.4,0,0
