Num_of_des	acc_train	acc_test	c	g	MCC	ACC_p	ACC_n
N=5	94.7553778793	100.0	0.0009765625	0.0009765625	0	0	1.0
N=6	94.7553778793	100.0	0.0009765625	0.0009765625	0	0	1.0
N=7	94.7553778793	100.0	0.0009765625	0.0009765625	0	0	1.0
N=8	94.7553778793	100.0	0.0009765625	0.0009765625	0	0	1.0
N=9	94.7553778793	100.0	0.0009765625	0.0009765625	0	0	1.0
N=10	94.7553778793	100.0	0.0009765625	0.0009765625	0	0	1.0
N=11	94.7553778793	100.0	0.0009765625	0.0009765625	0	0	1.0
N=12	94.7553778793	100.0	0.0009765625	0.0009765625	0	0	1.0
N=13	94.7553778793	100.0	0.0009765625	0.0009765625	0	0	1.0
N=14	94.7553778793	100.0	0.0009765625	0.0009765625	0	0	1.0
N=15	94.7553778793	100.0	0.0009765625	0.0009765625	0	0	1.0
N=16	94.7553778793	100.0	0.0009765625	0.0009765625	0	0	1.0
N=17	94.7553778793	100.0	0.0009765625	0.0009765625	0	0	1.0
N=18	94.7553778793	100.0	0.0009765625	0.0009765625	0	0	1.0
N=19	94.7553778793	100.0	0.0009765625	0.0009765625	0	0	1.0
N=20	94.7553778793	100.0	0.0009765625	0.0009765625	0	0	1.0
N=21	94.7553778793	100.0	0.0009765625	0.0009765625	0	0	1.0
N=22	94.7553778793	100.0	0.0009765625	0.0009765625	0	0	1.0
