Species,Sunrise,spray,Sunset,DewPoint,AvgSpeed,Tmin,SeaLevel,Tmax,Cool,StnPressure,WetBulb,ResultSpeed,Tavg,ResultDir,PrecipTotal,CodeSum,Depart,SnowFall,Depth,Heat,WnvPresent
1,421.0,0,1917.0,58.0,6.5,60.0,30.11,88.0,9.0,29.39,65.0,5.8,74.0,18.0,0.0,30.0,10.0,0.0,0.0,0.0,1
2,421.0,0,1917.0,58.0,6.5,60.0,30.11,88.0,9.0,29.39,65.0,5.8,74.0,18.0,0.0,30.0,10.0,0.0,0.0,0.0,1
2,421.0,0,1917.0,58.0,6.5,60.0,30.11,88.0,9.0,29.39,65.0,5.8,74.0,18.0,0.0,30.0,10.0,0.0,0.0,0.0,1
1,421.0,0,1917.0,58.0,6.5,60.0,30.11,88.0,9.0,29.39,65.0,5.8,74.0,18.0,0.0,30.0,10.0,0.0,0.0,0.0,1
2,421.0,0,1917.0,58.0,6.5,60.0,30.11,88.0,9.0,29.39,65.0,5.8,74.0,18.0,0.0,30.0,10.0,0.0,0.0,0.0,1
2,-1.0,0,-1.0,59.0,7.4,65.0,30.09,88.0,12.0,29.44,66.0,5.8,77.0,16.0,0.0,30.0,-1.0,-1.0,-1.0,0.0,1
2,-1.0,0,-1.0,59.0,7.4,65.0,30.09,88.0,12.0,29.44,66.0,5.8,77.0,16.0,0.0,30.0,-1.0,-1.0,-1.0,0.0,1
1,-1.0,0,-1.0,59.0,7.4,65.0,30.09,88.0,12.0,29.44,66.0,5.8,77.0,16.0,0.0,30.0,-1.0,-1.0,-1.0,0.0,1
2,-1.0,0,-1.0,59.0,7.4,65.0,30.09,88.0,12.0,29.44,66.0,5.8,77.0,16.0,0.0,30.0,-1.0,-1.0,-1.0,0.0,1
2,-1.0,0,-1.0,59.0,7.4,65.0,30.09,88.0,12.0,29.44,66.0,5.8,77.0,16.0,0.0,30.0,-1.0,-1.0,-1.0,0.0,1
1,-1.0,0,-1.0,59.0,7.4,65.0,30.09,88.0,12.0,29.44,66.0,5.8,77.0,16.0,0.0,30.0,-1.0,-1.0,-1.0,0.0,1
1,-1.0,0,-1.0,59.0,7.4,65.0,30.09,88.0,12.0,29.44,66.0,5.8,77.0,16.0,0.0,30.0,-1.0,-1.0,-1.0,0.0,1
2,-1.0,0,-1.0,59.0,7.4,65.0,30.09,88.0,12.0,29.44,66.0,5.8,77.0,16.0,0.0,30.0,-1.0,-1.0,-1.0,0.0,1
1,-1.0,0,-1.0,59.0,7.4,65.0,30.09,88.0,12.0,29.44,66.0,5.8,77.0,16.0,0.0,30.0,-1.0,-1.0,-1.0,0.0,1
2,-1.0,0,-1.0,59.0,7.4,65.0,30.09,88.0,12.0,29.44,66.0,5.8,77.0,16.0,0.0,30.0,-1.0,-1.0,-1.0,0.0,1
2,-1.0,0,-1.0,59.0,7.4,65.0,30.09,88.0,12.0,29.44,66.0,5.8,77.0,16.0,0.0,30.0,-1.0,-1.0,-1.0,0.0,1
2,-1.0,0,-1.0,59.0,7.4,65.0,30.09,88.0,12.0,29.44,66.0,5.8,77.0,16.0,0.0,30.0,-1.0,-1.0,-1.0,0.0,1
2,-1.0,0,-1.0,59.0,7.4,65.0,30.09,88.0,12.0,29.44,66.0,5.8,77.0,16.0,0.0,30.0,-1.0,-1.0,-1.0,0.0,1
3,-1.0,0,-1.0,59.0,7.4,65.0,30.09,88.0,12.0,29.44,66.0,5.8,77.0,16.0,0.0,30.0,-1.0,-1.0,-1.0,0.0,1
1,-1.0,0,-1.0,59.0,7.4,65.0,30.09,88.0,12.0,29.44,66.0,5.8,77.0,16.0,0.0,30.0,-1.0,-1.0,-1.0,0.0,1
2,-1.0,0,-1.0,59.0,7.4,65.0,30.09,88.0,12.0,29.44,66.0,5.8,77.0,16.0,0.0,30.0,-1.0,-1.0,-1.0,0.0,1
1,421.0,0,1917.0,58.0,6.5,60.0,30.11,88.0,9.0,29.39,65.0,5.8,74.0,18.0,0.0,30.0,10.0,0.0,0.0,0.0,1
1,421.0,0,1917.0,58.0,6.5,60.0,30.11,88.0,9.0,29.39,65.0,5.8,74.0,18.0,0.0,30.0,10.0,0.0,0.0,0.0,1
2,-1.0,0,-1.0,59.0,7.4,65.0,30.09,88.0,12.0,29.44,66.0,5.8,77.0,16.0,0.0,30.0,-1.0,-1.0,-1.0,0.0,1
2,-1.0,0,-1.0,59.0,7.4,65.0,30.09,88.0,12.0,29.44,66.0,5.8,77.0,16.0,0.0,30.0,-1.0,-1.0,-1.0,0.0,1
1,417.0,0,1923.0,48.0,7.6,47.0,29.79,64.0,0.0,29.1,51.0,5.2,56.0,5.0,0.42,19.0,-9.0,0.0,0.0,9.0,1
2,417.0,0,1923.0,48.0,7.6,47.0,29.79,64.0,0.0,29.1,51.0,5.2,56.0,5.0,0.42,19.0,-9.0,0.0,0.0,9.0,1
3,417.0,0,1923.0,48.0,7.6,47.0,29.79,64.0,0.0,29.1,51.0,5.2,56.0,5.0,0.42,19.0,-9.0,0.0,0.0,9.0,1
1,417.0,0,1923.0,48.0,7.6,47.0,29.79,64.0,0.0,29.1,51.0,5.2,56.0,5.0,0.42,19.0,-9.0,0.0,0.0,9.0,1
2,417.0,0,1923.0,48.0,7.6,47.0,29.79,64.0,0.0,29.1,51.0,5.2,56.0,5.0,0.42,19.0,-9.0,0.0,0.0,9.0,1
1,-1.0,0,-1.0,47.0,8.1,51.0,29.78,63.0,0.0,29.16,52.0,6.2,57.0,3.0,0.27,19.0,-1.0,-1.0,-1.0,8.0,1
2,-1.0,0,-1.0,47.0,8.1,51.0,29.78,63.0,0.0,29.16,52.0,6.2,57.0,3.0,0.27,19.0,-1.0,-1.0,-1.0,8.0,1
3,-1.0,0,-1.0,47.0,8.1,51.0,29.78,63.0,0.0,29.16,52.0,6.2,57.0,3.0,0.27,19.0,-1.0,-1.0,-1.0,8.0,1
2,-1.0,0,-1.0,47.0,8.1,51.0,29.78,63.0,0.0,29.16,52.0,6.2,57.0,3.0,0.27,19.0,-1.0,-1.0,-1.0,8.0,1
1,-1.0,0,-1.0,47.0,8.1,51.0,29.78,63.0,0.0,29.16,52.0,6.2,57.0,3.0,0.27,19.0,-1.0,-1.0,-1.0,8.0,1
2,-1.0,0,-1.0,47.0,8.1,51.0,29.78,63.0,0.0,29.16,52.0,6.2,57.0,3.0,0.27,19.0,-1.0,-1.0,-1.0,8.0,1
3,-1.0,0,-1.0,47.0,8.1,51.0,29.78,63.0,0.0,29.16,52.0,6.2,57.0,3.0,0.27,19.0,-1.0,-1.0,-1.0,8.0,1
2,-1.0,0,-1.0,47.0,8.1,51.0,29.78,63.0,0.0,29.16,52.0,6.2,57.0,3.0,0.27,19.0,-1.0,-1.0,-1.0,8.0,1
1,-1.0,0,-1.0,47.0,8.1,51.0,29.78,63.0,0.0,29.16,52.0,6.2,57.0,3.0,0.27,19.0,-1.0,-1.0,-1.0,8.0,1
2,-1.0,0,-1.0,47.0,8.1,51.0,29.78,63.0,0.0,29.16,52.0,6.2,57.0,3.0,0.27,19.0,-1.0,-1.0,-1.0,8.0,1
2,-1.0,0,-1.0,47.0,8.1,51.0,29.78,63.0,0.0,29.16,52.0,6.2,57.0,3.0,0.27,19.0,-1.0,-1.0,-1.0,8.0,1
2,-1.0,0,-1.0,47.0,8.1,51.0,29.78,63.0,0.0,29.16,52.0,6.2,57.0,3.0,0.27,19.0,-1.0,-1.0,-1.0,8.0,1
1,-1.0,0,-1.0,47.0,8.1,51.0,29.78,63.0,0.0,29.16,52.0,6.2,57.0,3.0,0.27,19.0,-1.0,-1.0,-1.0,8.0,1
1,-1.0,0,-1.0,47.0,8.1,51.0,29.78,63.0,0.0,29.16,52.0,6.2,57.0,3.0,0.27,19.0,-1.0,-1.0,-1.0,8.0,1
2,-1.0,0,-1.0,47.0,8.1,51.0,29.78,63.0,0.0,29.16,52.0,6.2,57.0,3.0,0.27,19.0,-1.0,-1.0,-1.0,8.0,1
3,-1.0,0,-1.0,47.0,8.1,51.0,29.78,63.0,0.0,29.16,52.0,6.2,57.0,3.0,0.27,19.0,-1.0,-1.0,-1.0,8.0,1
1,417.0,0,1923.0,48.0,7.6,47.0,29.79,64.0,0.0,29.1,51.0,5.2,56.0,5.0,0.42,19.0,-9.0,0.0,0.0,9.0,1
2,417.0,0,1923.0,48.0,7.6,47.0,29.79,64.0,0.0,29.1,51.0,5.2,56.0,5.0,0.42,19.0,-9.0,0.0,0.0,9.0,1
2,-1.0,0,-1.0,47.0,8.1,51.0,29.78,63.0,0.0,29.16,52.0,6.2,57.0,3.0,0.27,19.0,-1.0,-1.0,-1.0,8.0,1
2,-1.0,0,-1.0,47.0,8.1,51.0,29.78,63.0,0.0,29.16,52.0,6.2,57.0,3.0,0.27,19.0,-1.0,-1.0,-1.0,8.0,1
2,417.0,0,1923.0,48.0,7.6,47.0,29.79,64.0,0.0,29.1,51.0,5.2,56.0,5.0,0.42,19.0,-9.0,0.0,0.0,9.0,1
2,417.0,0,1923.0,48.0,7.6,47.0,29.79,64.0,0.0,29.1,51.0,5.2,56.0,5.0,0.42,19.0,-9.0,0.0,0.0,9.0,1
2,417.0,0,1923.0,48.0,7.6,47.0,29.79,64.0,0.0,29.1,51.0,5.2,56.0,5.0,0.42,19.0,-9.0,0.0,0.0,9.0,1
2,-1.0,0,-1.0,47.0,8.1,51.0,29.78,63.0,0.0,29.16,52.0,6.2,57.0,3.0,0.27,19.0,-1.0,-1.0,-1.0,8.0,1
2,417.0,0,1923.0,48.0,7.6,47.0,29.79,64.0,0.0,29.1,51.0,5.2,56.0,5.0,0.42,19.0,-9.0,0.0,0.0,9.0,1
2,417.0,0,1923.0,48.0,7.6,47.0,29.79,64.0,0.0,29.1,51.0,5.2,56.0,5.0,0.42,19.0,-9.0,0.0,0.0,9.0,1
1,-1.0,0,-1.0,47.0,8.1,51.0,29.78,63.0,0.0,29.16,52.0,6.2,57.0,3.0,0.27,19.0,-1.0,-1.0,-1.0,8.0,1
2,-1.0,0,-1.0,47.0,8.1,51.0,29.78,63.0,0.0,29.16,52.0,6.2,57.0,3.0,0.27,19.0,-1.0,-1.0,-1.0,8.0,1
2,-1.0,0,-1.0,47.0,8.1,51.0,29.78,63.0,0.0,29.16,52.0,6.2,57.0,3.0,0.27,19.0,-1.0,-1.0,-1.0,8.0,1
1,-1.0,0,-1.0,47.0,8.1,51.0,29.78,63.0,0.0,29.16,52.0,6.2,57.0,3.0,0.27,19.0,-1.0,-1.0,-1.0,8.0,1
2,-1.0,0,-1.0,47.0,8.1,51.0,29.78,63.0,0.0,29.16,52.0,6.2,57.0,3.0,0.27,19.0,-1.0,-1.0,-1.0,8.0,1
1,-1.0,0,-1.0,47.0,8.1,51.0,29.78,63.0,0.0,29.16,52.0,6.2,57.0,3.0,0.27,19.0,-1.0,-1.0,-1.0,8.0,1
1,-1.0,0,-1.0,47.0,8.1,51.0,29.78,63.0,0.0,29.16,52.0,6.2,57.0,3.0,0.27,19.0,-1.0,-1.0,-1.0,8.0,1
2,-1.0,0,-1.0,47.0,8.1,51.0,29.78,63.0,0.0,29.16,52.0,6.2,57.0,3.0,0.27,19.0,-1.0,-1.0,-1.0,8.0,1
3,-1.0,0,-1.0,47.0,8.1,51.0,29.78,63.0,0.0,29.16,52.0,6.2,57.0,3.0,0.27,19.0,-1.0,-1.0,-1.0,8.0,1
1,417.0,0,1923.0,48.0,7.6,47.0,29.79,64.0,0.0,29.1,51.0,5.2,56.0,5.0,0.42,19.0,-9.0,0.0,0.0,9.0,1
2,417.0,0,1923.0,48.0,7.6,47.0,29.79,64.0,0.0,29.1,51.0,5.2,56.0,5.0,0.42,19.0,-9.0,0.0,0.0,9.0,1
1,417.0,0,1923.0,48.0,7.6,47.0,29.79,64.0,0.0,29.1,51.0,5.2,56.0,5.0,0.42,19.0,-9.0,0.0,0.0,9.0,1
2,417.0,0,1923.0,48.0,7.6,47.0,29.79,64.0,0.0,29.1,51.0,5.2,56.0,5.0,0.42,19.0,-9.0,0.0,0.0,9.0,1
2,-1.0,0,-1.0,47.0,8.1,51.0,29.78,63.0,0.0,29.16,52.0,6.2,57.0,3.0,0.27,19.0,-1.0,-1.0,-1.0,8.0,1
1,417.0,0,1923.0,48.0,7.6,47.0,29.79,64.0,0.0,29.1,51.0,5.2,56.0,5.0,0.42,19.0,-9.0,0.0,0.0,9.0,1
2,417.0,0,1923.0,48.0,7.6,47.0,29.79,64.0,0.0,29.1,51.0,5.2,56.0,5.0,0.42,19.0,-9.0,0.0,0.0,9.0,1
2,-1.0,0,-1.0,47.0,8.1,51.0,29.78,63.0,0.0,29.16,52.0,6.2,57.0,3.0,0.27,19.0,-1.0,-1.0,-1.0,8.0,1
1,417.0,0,1923.0,48.0,7.6,47.0,29.79,64.0,0.0,29.1,51.0,5.2,56.0,5.0,0.42,19.0,-9.0,0.0,0.0,9.0,1
2,417.0,0,1923.0,48.0,7.6,47.0,29.79,64.0,0.0,29.1,51.0,5.2,56.0,5.0,0.42,19.0,-9.0,0.0,0.0,9.0,1
1,417.0,0,1923.0,48.0,7.6,47.0,29.79,64.0,0.0,29.1,51.0,5.2,56.0,5.0,0.42,19.0,-9.0,0.0,0.0,9.0,1
2,417.0,0,1923.0,48.0,7.6,47.0,29.79,64.0,0.0,29.1,51.0,5.2,56.0,5.0,0.42,19.0,-9.0,0.0,0.0,9.0,1
2,-1.0,0,-1.0,47.0,8.1,51.0,29.78,63.0,0.0,29.16,52.0,6.2,57.0,3.0,0.27,19.0,-1.0,-1.0,-1.0,8.0,1
2,-1.0,0,-1.0,47.0,8.1,51.0,29.78,63.0,0.0,29.16,52.0,6.2,57.0,3.0,0.27,19.0,-1.0,-1.0,-1.0,8.0,1
