Species,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,spray,WnvPresent
1,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,30.0,0.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5,0,1
2,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,30.0,0.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5,0,1
2,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,30.0,0.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5,0,1
1,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,30.0,0.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5,0,1
2,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,30.0,0.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5,0,1
2,88.0,65.0,77.0,-1.0,59.0,66.0,0.0,12.0,-1.0,-1.0,30.0,-1.0,-1.0,0.0,29.44,30.09,5.8,16.0,7.4,0,1
2,88.0,65.0,77.0,-1.0,59.0,66.0,0.0,12.0,-1.0,-1.0,30.0,-1.0,-1.0,0.0,29.44,30.09,5.8,16.0,7.4,0,1
1,88.0,65.0,77.0,-1.0,59.0,66.0,0.0,12.0,-1.0,-1.0,30.0,-1.0,-1.0,0.0,29.44,30.09,5.8,16.0,7.4,0,1
2,88.0,65.0,77.0,-1.0,59.0,66.0,0.0,12.0,-1.0,-1.0,30.0,-1.0,-1.0,0.0,29.44,30.09,5.8,16.0,7.4,0,1
2,88.0,65.0,77.0,-1.0,59.0,66.0,0.0,12.0,-1.0,-1.0,30.0,-1.0,-1.0,0.0,29.44,30.09,5.8,16.0,7.4,0,1
1,88.0,65.0,77.0,-1.0,59.0,66.0,0.0,12.0,-1.0,-1.0,30.0,-1.0,-1.0,0.0,29.44,30.09,5.8,16.0,7.4,0,1
1,88.0,65.0,77.0,-1.0,59.0,66.0,0.0,12.0,-1.0,-1.0,30.0,-1.0,-1.0,0.0,29.44,30.09,5.8,16.0,7.4,0,1
2,88.0,65.0,77.0,-1.0,59.0,66.0,0.0,12.0,-1.0,-1.0,30.0,-1.0,-1.0,0.0,29.44,30.09,5.8,16.0,7.4,0,1
1,88.0,65.0,77.0,-1.0,59.0,66.0,0.0,12.0,-1.0,-1.0,30.0,-1.0,-1.0,0.0,29.44,30.09,5.8,16.0,7.4,0,1
2,88.0,65.0,77.0,-1.0,59.0,66.0,0.0,12.0,-1.0,-1.0,30.0,-1.0,-1.0,0.0,29.44,30.09,5.8,16.0,7.4,0,1
2,88.0,65.0,77.0,-1.0,59.0,66.0,0.0,12.0,-1.0,-1.0,30.0,-1.0,-1.0,0.0,29.44,30.09,5.8,16.0,7.4,0,1
2,88.0,65.0,77.0,-1.0,59.0,66.0,0.0,12.0,-1.0,-1.0,30.0,-1.0,-1.0,0.0,29.44,30.09,5.8,16.0,7.4,0,1
2,88.0,65.0,77.0,-1.0,59.0,66.0,0.0,12.0,-1.0,-1.0,30.0,-1.0,-1.0,0.0,29.44,30.09,5.8,16.0,7.4,0,1
3,88.0,65.0,77.0,-1.0,59.0,66.0,0.0,12.0,-1.0,-1.0,30.0,-1.0,-1.0,0.0,29.44,30.09,5.8,16.0,7.4,0,1
1,88.0,65.0,77.0,-1.0,59.0,66.0,0.0,12.0,-1.0,-1.0,30.0,-1.0,-1.0,0.0,29.44,30.09,5.8,16.0,7.4,0,1
2,88.0,65.0,77.0,-1.0,59.0,66.0,0.0,12.0,-1.0,-1.0,30.0,-1.0,-1.0,0.0,29.44,30.09,5.8,16.0,7.4,0,1
1,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,30.0,0.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5,0,1
1,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,30.0,0.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5,0,1
2,88.0,65.0,77.0,-1.0,59.0,66.0,0.0,12.0,-1.0,-1.0,30.0,-1.0,-1.0,0.0,29.44,30.09,5.8,16.0,7.4,0,1
2,88.0,65.0,77.0,-1.0,59.0,66.0,0.0,12.0,-1.0,-1.0,30.0,-1.0,-1.0,0.0,29.44,30.09,5.8,16.0,7.4,0,1
1,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,19.0,0.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0,1
